# t (s)	mx ()	my ()	mz ()
0	1	0	0
5.001415085981509e-12	0.99976987	-0.0013858102	-4.6423836e-05
1.0002327211890355e-11	0.99906045	-0.0027187928	-0.00015742042
1.500791236532697e-11	0.997733	-0.003950191	-0.00033092717
2.000002540394089e-11	0.9957733	-0.0050265524	-0.00055972947
2.5001119065588767e-11	0.9934827	-0.005911462	-0.0008332805
3.000904928107078e-11	0.9914795	-0.0065764203	-0.0011367529
3.5000529110309275e-11	0.9904267	-0.00700732	-0.0014538025
4.000410434083576e-11	0.9906606	-0.0072050374	-0.0017739749
4.500814730932946e-11	0.99205256	-0.007170331	-0.0020880557
5.000630836330429e-11	0.99410516	-0.006908244	-0.0023896855
5.501434415266065e-11	0.9962217	-0.0064262645	-0.0026738534
6.000854045027566e-11	0.99790967	-0.0057421704	-0.0029321613
6.500783328166942e-11	0.9989429	-0.0048766383	-0.0031574022
7.000338670146787e-11	0.9993518	-0.0038615565	-0.0033405416
7.500442733831992e-11	0.99925375	-0.0027309132	-0.0034749473
8.0005016263686e-11	0.99876624	-0.0015243342	-0.0035554299
8.500241450953023e-11	0.99804884	-0.0002831432	-0.0035787576
9.000615305176188e-11	0.9971486	0.0009539713	-0.0035439911
9.500266304981848e-11	0.9959959	0.0021434443	-0.0034535178
1.0000625723874766e-10	0.99454045	0.0032499842	-0.0033120618
1.0500123076017459e-10	0.99297047	0.0042369287	-0.003127534
1.1000109205454773e-10	0.9917491	0.005081494	-0.0029088832
1.150074891776772e-10	0.9913971	0.0057630087	-0.0026657635
1.2000427589770613e-10	0.992137	0.006261268	-0.002407831
1.250114272991373e-10	0.99375796	0.006562833	-0.0021421008
1.3000648335199034e-10	0.995648	0.0066586	-0.00187715
1.350154956876943e-10	0.9971707	0.0065503204	-0.0016186914
1.4000851160586357e-10	0.99797183	0.0062486744	-0.0013747179
1.4500141209403015e-10	0.99814445	0.0057704216	-0.0011494147
1.5000382506408737e-10	0.99809617	0.005135969	-0.0009475035
1.550119294944723e-10	0.99819773	0.0043700375	-0.0007738159
1.6000395789250244e-10	0.9984193	0.0035011407	-0.0006328845
1.6500357915593567e-10	0.9983514	0.0025525268	-0.0005296636
1.7000940836454779e-10	0.99758935	0.0015564436	-0.00047159372
1.7501302982416472e-10	0.99607646	0.0005503318	-0.00046340874
1.800121725975715e-10	0.99418736	-0.0004304251	-0.0005045467
1.8501197904510776e-10	0.9925291	-0.0013583463	-0.00059006875
1.9000018076726277e-10	0.9916147	-0.0022103812	-0.00071183505
1.950051616978732e-10	0.991648	-0.0029745856	-0.0008614898
2.0000221878179653e-10	0.99255615	-0.0036327792	-0.0010286006
2.0501221156199133e-10	0.99403566	-0.0041740295	-0.0012050718
2.1001307867795812e-10	0.9956794	-0.004583788	-0.0013841188
2.1501263374140457e-10	0.99716145	-0.0048555657	-0.0015627532
2.2000430783532408e-10	0.99832547	-0.0049884003	-0.0017389532
2.2501482904778777e-10	0.9991483	-0.0049886145	-0.0019128969
2.300002136008277e-10	0.99960196	-0.0048678005	-0.0020831777
2.3501298300878225e-10	0.9996403	-0.004637149	-0.0022515715
2.400079744960821e-10	0.9991656	-0.004307133	-0.002415147
2.4500947522979967e-10	0.99807703	-0.003880716	-0.0025717472
2.500077748541072e-10	0.99640036	-0.0033615078	-0.0027145124
2.5501269975199017e-10	0.9943411	-0.0027546661	-0.0028329126
2.6001126964387883e-10	0.992336	-0.0020760673	-0.002916062
2.6500880881727723e-10	0.9909797	-0.001346896	-0.0029589655
2.7001161262181354e-10	0.99079347	-0.0005905351	-0.0029650705
2.750009982601777e-10	0.991899	0.00016719336	-0.002944783
2.800047368972576e-10	0.9938822	0.0009108801	-0.0029103144
2.8501424276128646e-10	0.9960417	0.0016248453	-0.0028708144
