# t (s)	mx ()	my ()	mz ()
0	1	0	0
5.014768376949285e-12	0.9996614	-0.014135427	-0.0004788773
1.0012127117440461e-11	0.99859285	-0.02814917	-0.0016583533
1.5013544355318698e-11	0.9965954	-0.04152019	-0.0035652362
2.000114129641182e-11	0.9936233	-0.05356871	-0.006165567
2.5014547690134415e-11	0.9900335	-0.06378402	-0.009385993
3.0001513509691414e-11	0.9867223	-0.07160319	-0.013038353
3.500537487038423e-11	0.98467624	-0.07682512	-0.016983481
4.000502776900129e-11	0.9845573	-0.07925675	-0.021063723
4.5004828467527835e-11	0.9863112	-0.0787651	-0.02518807
5.001433302907219e-11	0.98926723	-0.07519455	-0.02929851
5.5002495720148744e-11	0.9924467	-0.0684572	-0.033291355
6.000900997278076e-11	0.9950212	-0.058477588	-0.037084542
6.500319255854221e-11	0.9965142	-0.045426447	-0.0405046
7.00108750759465e-11	0.9969811	-0.029521044	-0.043398604
7.500780842896066e-11	0.9966201	-0.011253039	-0.045599066
8.000405571120394e-11	0.9955949	0.008907868	-0.04697341
8.501320512986982e-11	0.9941297	0.030434288	-0.047398783
9.001304702229951e-11	0.99208504	0.052566413	-0.04678085
9.5004862503787e-11	0.98884034	0.07453699	-0.0450844
1.0000425923894244e-10	0.9837543	0.09553318	-0.042327352
1.0501159866268788e-10	0.97708374	0.114746734	-0.03861475
1.1000733984908484e-10	0.9704849	0.1316029	-0.034154993
1.1500892220478134e-10	0.96621305	0.14589314	-0.029143225
1.2001590448076045e-10	0.96577936	0.1572908	-0.023725595
1.2500209361997122e-10	0.9690774	0.1652228	-0.01803049
1.3000867292615283e-10	0.97410625	0.16905393	-0.012105191
1.3501295492737053e-10	0.97798973	0.16807653	-0.00612781
1.400005883377905e-10	0.9788039	0.16200814	-0.0003413382
1.450046377616585e-10	0.9768031	0.15102662	0.0050699227
1.5000391716732138e-10	0.97454935	0.13593401	0.00982205
1.5500942516189425e-10	0.97525936	0.11772848	0.013827464
1.6001221628520318e-10	0.9797863	0.096962474	0.017270535
1.6500776430370035e-10	0.9852818	0.073563054	0.020278582
1.7001025500887065e-10	0.9872737	0.04752296	0.022627614
1.7500540636501777e-10	0.9827872	0.019680718	0.023870267
1.8001541303711968e-10	0.9724154	-0.008804793	0.023728337
1.8501003606355349e-10	0.9601795	-0.036855195	0.022284556
1.900135610203294e-10	0.95060563	-0.06461587	0.019741626
1.9501579277909272e-10	0.9465367	-0.09223593	0.016101284
2.000104244473321e-10	0.9484988	-0.11941473	0.011423297
2.050145389113593e-10	0.9539561	-0.14528738	0.005996069
2.1001206821478713e-10	0.9582862	-0.16798094	0.000111836474
2.1500841341623542e-10	0.95775884	-0.18541984	-0.0059515643
2.2001326163989745e-10	0.9520179	-0.19627082	-0.011573867
2.2500450166839583e-10	0.94392073	-0.20070031	-0.015933657
2.3000140242929948e-10	0.93644017	-0.20040795	-0.018498737
2.3501140165507103e-10	0.9307741	-0.19824357	-0.019133778
2.400020511654418e-10	0.92666507	-0.19758223	-0.01828021
2.4501280649182246e-10	0.9229279	-0.20130605	-0.017395478
2.5000510600324265e-10	0.91836834	-0.21013352	-0.01873087
2.550039795651565e-10	0.9109806	-0.22089995	-0.023950629
2.600143311808975e-10	0.8983321	-0.2274977	-0.032921795
2.6500768399578973e-10	0.8810322	-0.22480936	-0.043576874
2.700063133774841e-10	0.8652268	-0.21206835	-0.053513084
2.7500889073008557e-10	0.86137885	-0.19268875	-0.06111732
2.800129616817713e-10	0.8751714	-0.17120191	-0.06649543
2.8500316448666017e-10	0.9013699	-0.1488616	-0.07177972
2.9000766269101383e-10	0.9282641	-0.12221422	-0.079270676
2.950085052352879e-10	0.9453494	-0.088084996	-0.089147076
3.000149101170043e-10	0.9475821	-0.047035214	-0.09982561
3.0500128279018396e-10	0.9339419	-0.0037629388	-0.11007892
3.1000947571280437e-10	0.90632534	0.038257364	-0.12053751
3.1500877307688387e-10	0.8691587	0.08066541	-0.13153754
3.2001499084047176e-10	0.8258551	0.13032517	-0.14162238
3.250106226099381e-10	0.77729076	0.19154325	-0.14764513
3.3000797211253097e-10	0.723913	0.2609073	-0.14681597
3.3500048771040883e-10	0.66933566	0.33068573	-0.13858114
3.4000082693755987e-10	0.61908585	0.39771765	-0.124340236
3.450102854057895e-10	0.57713836	0.46219885	-0.10671141
3.5000767276175436e-10	0.54284656	0.5244565	-0.08888391
3.5500673239522017e-10	0.50940007	0.5841611	-0.07294552
3.60000007585457e-10	0.4731132	0.63872975	-0.058889225
3.6501252493837855e-10	0.44418854	0.6907919	-0.045504108
3.7001018956650914e-10	0.43169984	0.7454126	-0.03284693
3.750111473611215e-10	0.42359024	0.79335505	-0.019824563
3.800030994975994e-10	0.40791887	0.8170807	-0.0032527337
3.850130095745179e-10	0.38720998	0.8089338	0.016720818
3.900126760635783e-10	0.36960647	0.7737179	0.036304314
3.950143537092938e-10	0.35840654	0.7215119	0.053400986
4.000142591710024e-10	0.3511897	0.65883595	0.07002204
4.0500802448788847e-10	0.3436137	0.59276634	0.08783498
4.100118926602059e-10	0.3362289	0.536272	0.10450077
