# t (s)	mx ()	my ()	mz ()
0	1	0	0
5.015613935299818e-12	0.9997157	-0.009839956	-0.00033236467
1.0014304523653604e-11	0.99882406	-0.019487804	-0.0011420723
1.5000718861678514e-11	0.9971534	-0.028566701	-0.0024314113
2.00060419594938e-11	0.9946423	-0.03672004	-0.0041820495
2.5004550672431803e-11	0.9916458	-0.0435267	-0.0063143997
3.000930529715124e-11	0.9889175	-0.048728183	-0.008726513
3.5014284378090585e-11	0.9873334	-0.05215975	-0.011301847
4.001517925529312e-11	0.9874151	-0.05374185	-0.0139426105
4.500039988428884e-11	0.9890588	-0.053425286	-0.01657777
5.001142179549823e-11	0.99166834	-0.051151205	-0.019183053
5.500082324688663e-11	0.99440503	-0.046912905	-0.021682339
6.000854178872862e-11	0.9965955	-0.040715065	-0.02402602
6.500445633115888e-11	0.99787676	-0.03270998	-0.026111916
7.001342644651489e-11	0.9983186	-0.023070881	-0.027853012
7.50116940077314e-11	0.99810463	-0.012127496	-0.029156016
8.000938075703706e-11	0.99739647	-0.00018949358	-0.029952949
8.500396186317044e-11	0.9964069	0.012365467	-0.030184917
9.000508686675911e-11	0.99508965	0.025159482	-0.029813575
9.501444985001825e-11	0.9930894	0.037759848	-0.028829504
1.0001534399610374e-10	0.9900782	0.049657624	-0.027263362
1.0500787896938998e-10	0.9863127	0.0604398	-0.025184626
1.100050296528316e-10	0.9828608	0.06984109	-0.022689587
1.1500826763672743e-10	0.98111504	0.077647015	-0.019886183
1.2000130629735648e-10	0.9818704	0.08360882	-0.016874308
1.2500520734448068e-10	0.9848554	0.08747334	-0.013718819
1.3001339363690585e-10	0.9886505	0.08895242	-0.010499119
1.3500326281172943e-10	0.9914947	0.087865345	-0.0073180916
1.4000899738705554e-10	0.9923934	0.084186375	-0.004252469
1.4501448179982044e-10	0.9916403	0.078076586	-0.0013957438
1.500147469296484e-10	0.99072677	0.06986199	0.0011588611
1.5500493915204686e-10	0.9912081	0.059929416	0.0033642668
1.6000971792698025e-10	0.9931975	0.048461813	0.0052475
1.6500630652925826e-10	0.99503046	0.03564738	0.0067633647
1.7001010120908933e-10	0.9946241	0.02171796	0.007768215
1.7500856053238336e-10	0.99101424	0.0071985866	0.008093216
1.800043848690432e-10	0.98510027	-0.007332464	0.0076695504
1.850009205919746e-10	0.97914	-0.021452308	0.006544283
1.9000407783932563e-10	0.9753323	-0.03496876	0.0048108404
1.9500695680011222e-10	0.9747579	-0.04768435	0.0025487253
2.000020090338301e-10	0.9772322	-0.059307758	-0.000120563906
2.05008082331655e-10	0.98131716	-0.069474965	-0.0030369533
2.100061780585876e-10	0.98499167	-0.077637024	-0.006044692
2.1500316345638724e-10	0.98687047	-0.08334729	-0.00902542
2.2000862423165935e-10	0.9869465	-0.086394906	-0.011829471
2.2500153269726722e-10	0.98626536	-0.086948715	-0.014302594
2.3001477545314498e-10	0.98582685	-0.0855722	-0.016409893
2.350087850260914e-10	0.9860384	-0.08304904	-0.018216744
2.4000043445053196e-10	0.9865118	-0.07999789	-0.019952301
2.450140525015659e-10	0.986074	-0.076536596	-0.022010159
