# t (s)	mx ()	my ()	mz ()
0	1	0	0
5.001694689265684e-12	0.9997718	-1.3832717e-05	-4.6294397e-07
1.0003043415432759e-11	0.9990715	-2.7088594e-05	-1.5657512e-06
1.5009105943697447e-11	0.99776846	-3.9289826e-05	-3.2825524e-06
2.00016691656303e-11	0.99585605	-4.991809e-05	-5.538224e-06
2.5003283753964458e-11	0.9936337	-5.8628208e-05	-8.225531e-06
3.00116862863517e-11	0.9917034	-6.515471e-05	-1.1195787e-05
3.500354377441537e-11	0.99070054	-6.937138e-05	-1.4288938e-05
4.0007557541698344e-11	0.9909392	-7.1303875e-05	-1.7402623e-05
4.501212980814097e-11	0.99228734	-7.0974835e-05	-2.0446561e-05
5.001085210897722e-11	0.99426544	-6.844858e-05	-2.3358682e-05
5.5003305718092666e-11	0.99629825	-6.383531e-05	-2.608308e-05
6.00138153966223e-11	0.997937	-5.7267476e-05	-2.8565952e-05
6.501375884007555e-11	0.9989484	-4.901176e-05	-3.071518e-05
7.000973869205133e-11	0.99936175	-3.936601e-05	-3.2456555e-05
7.50112578059899e-11	0.99928355	-2.8660479e-05	-3.373035e-05
8.001230314758944e-11	0.9988237	-1.727737e-05	-3.4491553e-05
8.501017009615639e-11	0.99813384	-5.60899e-06	-3.4713878e-05
9.001430721197065e-11	0.9972682	5.9803283e-06	-3.439283e-05
9.501125132780477e-11	0.99618244	1.7086786e-05	-3.3554697e-05
1.0001534677929413e-10	0.9948506	2.7387274e-05	-3.224621e-05
1.0501070955858581e-10	0.9934501	3.6548e-05	-3.054451e-05
1.1001102483865211e-10	0.99238557	4.4363285e-05	-2.853347e-05
1.1500195558992404e-10	0.9921003	5.0632018e-05	-2.6310128e-05
1.2001524782780239e-10	0.99277633	5.522734e-05	-2.3941775e-05
1.2500693734694685e-10	0.9942139	5.7980094e-05	-2.152329e-05
1.300024766877599e-10	0.99589443	5.8861748e-05	-1.9109873e-05
1.3501195597956874e-10	0.99727046	5.7893303e-05	-1.676058e-05
1.4000539446877515e-10	0.99803734	5.5183784e-05	-1.4547454e-05
1.4501486330132948e-10	0.99826336	5.0876035e-05	-1.2501938e-05
1.5000174674554925e-10	0.99827325	4.5204197e-05	-1.0684345e-05
1.5501015443283367e-10	0.9983616	3.8348982e-05	-9.120136e-06
1.6000274314559235e-10	0.99850225	3.0592033e-05	-7.858243e-06
1.6500287465641842e-10	0.9983751	2.2154667e-05	-6.942504e-06
1.7000915749787085e-10	0.997674	1.3333758e-05	-6.433348e-06
1.7501337945328623e-10	0.99637437	4.4602575e-06	-6.3649527e-06
1.8001306565011132e-10	0.99479073	-4.1596168e-06	-6.726836e-06
1.8501337203797371e-10	0.9934132	-1.2284749e-05	-7.47324e-06
1.9000193617742535e-10	0.9926521	-1.971412e-05	-8.530755e-06
1.950073055619278e-10	0.9926699	-2.634796e-05	-9.82386e-06
2.0000475235946352e-10	0.9934121	-3.2033437e-05	-1.1262075e-05
2.0501534368419581e-10	0.994645	-3.6689064e-05	-1.2777239e-05
2.1000070371913234e-10	0.9960437	-4.01952e-05	-1.43084235e-05
2.1500065192427533e-10	0.9973487	-4.2532098e-05	-1.5842585e-05
2.200088440487355e-10	0.9984067	-4.368714e-05	-1.7366167e-05
2.2500368949168208e-10	0.9991564	-4.3709133e-05	-1.8867631e-05
2.30005710190909e-10	0.9995577	-4.268731e-05	-2.0351867e-05
2.350030726755361e-10	0.9995597	-4.0720606e-05	-2.180846e-05
2.4001456856715973e-10	0.99909747	-3.787201e-05	-2.3221597e-05
2.450006344486889e-10	0.99813074	-3.421421e-05	-2.4546434e-05
2.50015386418175e-10	0.99671024	-2.9754041e-05	-2.5739397e-05
2.55004632172607e-10	0.9950494	-2.4616475e-05	-2.6705035e-05
2.6000359176930495e-10	0.99348354	-1.890293e-05	-2.737715e-05
2.6500159054665106e-10	0.99245644	-1.2805527e-05	-2.7722865e-05
2.700048791427058e-10	0.99233305	-6.5135805e-06	-2.777382e-05
2.750107244605499e-10	0.9931898	-2.1555807e-07	-2.7610096e-05
2.8001469532480195e-10	0.9947202	5.9238046e-06	-2.7322341e-05
2.8500876710345026e-10	0.9964198	1.1774821e-05	-2.6976477e-05
2.9001048841411157e-10	0.99789214	1.7277453e-05	-2.6590697e-05
2.9501581066212275e-10	0.9989441	2.2372622e-05	-2.6140395e-05
3.0000264994244975e-10	0.9995463	2.7010135e-05	-2.5573147e-05
3.050000752698385e-10	0.99973553	3.1192005e-05	-2.4814377e-05
