# t (s)	mx ()	my ()	mz ()
0	1	0	0
5.015895146935279e-12	0.9997296	-0.008418627	-0.00028407326
1.0015020935652933e-11	0.9988836	-0.016642332	-0.00097359606
1.500192314121492e-11	0.9972961	-0.024353342	-0.002067396
2.0007679960165498e-11	0.9949099	-0.031254757	-0.0035469555
2.500671179104101e-11	0.99207014	-0.03699856	-0.0053428304
3.001191853530057e-11	0.9895022	-0.04137537	-0.0073678484
3.500132640015035e-11	0.9880415	-0.04424822	-0.009516513
4.000270525417888e-11	0.9881642	-0.045577172	-0.011720321
4.5004308198966934e-11	0.98977196	-0.045315813	-0.013919245
5.0015894340157115e-11	0.99227774	-0.043428864	-0.016078146
5.500571055540534e-11	0.9948878	-0.03992655	-0.0181406
6.001376997933225e-11	0.99697185	-0.034826778	-0.020066394
6.50102135602797e-11	0.99819505	-0.028267045	-0.02177317
7.000362544170846e-11	0.99862516	-0.02042664	-0.023187697
7.500234443065704e-11	0.9984381	-0.01153191	-0.024245486
8.000057961464609e-11	0.9977877	-0.0018644949	-0.024889436
8.501169046336143e-11	0.99687463	0.008297129	-0.025075313
9.001318658881916e-11	0.99568236	0.01857913	-0.024774954
9.500715749952722e-11	0.99392605	0.028637145	-0.02398974
1.0000847854269341e-10	0.9913371	0.03813686	-0.022742804
1.0500143316306491e-10	0.9881648	0.046724696	-0.021092845
1.1001497172739069e-10	0.98533016	0.054210432	-0.019109154
1.1500280850161443e-10	0.9840351	0.060349904	-0.016896926
1.2001240669853737e-10	0.98490673	0.06501997	-0.014509209
1.2500093107478802e-10	0.98765385	0.067972116	-0.012031228
1.3000961735406014e-10	0.9910544	0.06904376	-0.009505573
1.3500002455066e-10	0.99361295	0.0681162	-0.007020756
1.4000642247769293e-10	0.9945157	0.06519426	-0.0046327305
1.4501238104162641e-10	0.9940221	0.060410846	-0.0024094868
1.5001304038530334e-10	0.99334943	0.05400603	-0.00041721342
1.5500351583178855e-10	0.9937193	0.04626069	0.0013057253
1.6000884969939783e-10	0.99516857	0.037323985	0.002765574
1.650059050486718e-10	0.9963557	0.027382992	0.0039144326
1.7000994454906647e-10	0.9956875	0.016653184	0.0046452815
1.7500947780154166e-10	0.99251604	0.0055416096	0.004844895
1.8000589392190963e-10	0.98765916	-0.00552214	0.004473723
1.8500295502338164e-10	0.98293966	-0.016217714	0.0035701396
1.900062244292215e-10	0.98006845	-0.026368357	0.0022073584
1.9500938698760583e-10	0.97983813	-0.0357969	0.00045871502
2.0000476347156047e-10	0.98204666	-0.044281393	-0.0015736909
2.0501134873533994e-10	0.98556674	-0.05157534	-0.00377225
2.1000985085403238e-10	0.98887426	-0.057327896	-0.0060256533
2.1500722729356296e-10	0.9909339	-0.06127709	-0.008256402
2.2001298047431256e-10	0.9916998	-0.063311055	-0.010379818
2.2500616210359597e-10	0.9918484	-0.063545644	-0.012314319
2.300040890616507e-10	0.9920127	-0.062329922	-0.014053357
2.35014408605243e-10	0.9924041	-0.06009913	-0.015660524
2.400065583351316e-10	0.99264646	-0.05718576	-0.017254159
2.450049211342656e-10	0.9918138	-0.053597577	-0.019030383
2.500006507045087e-10	0.98895043	-0.049018897	-0.021090435
2.5500337320392354e-10	0.98354566	-0.042963702	-0.023274332
2.600158338781582e-10	0.9763563	-0.03518348	-0.025219442
2.6501136115289653e-10	0.9699418	-0.025896909	-0.026578134
2.700119812340726e-10	0.96757936	-0.015498923	-0.027249265
2.750152782359629e-10	0.9710839	-0.00445429	-0.027381793
2.800032955138416e-10	0.97875625	0.006816999	-0.027300984
2.850130286464667e-10	0.9864685	0.018190727	-0.027331932
2.900105107372087e-10	0.9907406	0.029476874	-0.027645605
2.9501069185185956e-10	0.99081904	0.040617898	-0.02827689
3.000082907779926e-10	0.9881091	0.05169732	-0.02924014
3.050024755199027e-10	0.98465407	0.06330483	-0.030492824
3.100153014901583e-10	0.9818541	0.07650089	-0.031700943
3.1501557508396467e-10	0.97988963	0.0918033	-0.032071386
3.2000253916312863e-10	0.97749466	0.10840653	-0.030722402
3.2500745900341394e-10	0.97266126	0.12425184	-0.027192147
3.300141055226296e-10	0.9643958	0.13701276	-0.021764094
3.350060365201295e-10	0.95409065	0.14568116	-0.015241184
3.4001527241595453e-10	0.9450712	0.15043761	-0.008394185
3.450129523098179e-10	0.94126296	0.15158804	-0.0018272753
3.500000871566495e-10	0.94460434	0.14918981	0.0042155837
3.550029548713582e-10	0.9539926	0.14287496	0.009838245
3.600024154734215e-10	0.9660638	0.13223623	0.0152553655
3.650039261551915e-10	0.9766714	0.1170878	0.0207346
3.700085435916951e-10	0.9819609	0.09716549	0.02647172
3.750012857237754e-10	0.9803172	0.072282046	0.032386802
3.80011682232998e-10	0.97319925	0.04232976	0.038187977
3.8500688333952196e-10	0.9642972	0.00787364	0.043363646
3.9000495572443733e-10	0.9574719	-0.0306953	0.047401574
3.9500788480180086e-10	0.9542989	-0.07274235	0.049704872
4.000154278408317e-10	0.9527559	-0.1172889	0.049481478
4.050112275878189e-10	0.9484389	-0.16233489	0.04587926
4.1001052033206923e-10	0.9381636	-0.20483436	0.038430303
4.150124709860816e-10	0.92277485	-0.24132739	0.027786646
4.200002503597385e-10	0.9068068	-0.26982617	0.015655506
4.250031069328762e-10	0.8957321	-0.2908768	0.0036970645
4.300047146741529e-10	0.89324474	-0.3061977	-0.0072470424
4.35004823835248e-10	0.8988974	-0.31705195	-0.017690195
4.400051721771914e-10	0.9081992	-0.32240173	-0.028843334
4.4500728213709424e-10	0.9151673	-0.31857944	-0.041497577
4.5001191392190726e-10	0.91691	-0.3017608	-0.05531846
4.550032411701298e-10	0.91549385	-0.27120265	-0.069205225
4.600136101736941e-10	0.9155173	-0.22914314	-0.0822626
4.65011606743686e-10	0.9207265	-0.17903423	-0.0940528
4.70012245899181e-10	0.93115765	-0.121723674	-0.10486264
4.750135883037803e-10	0.9426406	-0.05597391	-0.114745215
4.800153015311922e-10	0.94949514	0.01898365	-0.12287034
4.850014070085148e-10	0.9471038	0.10073299	-0.12741512
4.90003547676047e-10	0.93366754	0.18454574	-0.12644374
4.950060133182939e-10	0.9110684	0.2645587	-0.119415864
5.000095968440453e-10	0.8825954	0.33800194	-0.10749375
5.050155273075739e-10	0.8505658	0.40481117	-0.092078574
5.100067143034281e-10	0.8165077	0.46428233	-0.074221715
5.1500758522981e-10	0.78167915	0.5138575	-0.054989368
5.200079357772262e-10	0.74913806	0.5496969	-0.035814725
5.250087778920048e-10	0.72370726	0.5704838	-0.01761725
5.300068373663559e-10	0.71025777	0.5791048	-0.00028367795
5.350073555688112e-10	0.711555	0.5798264	0.01717556
5.400139392800806e-10	0.72740775	0.5731094	0.035980202
5.450049638148639e-10	0.755002	0.55396444	0.056416914
5.500095128257965e-10	0.789998	0.5159073	0.07726783
5.550125147506998e-10	0.82766294	0.45808804	0.096079834
5.600013574965867e-10	0.8647207	0.38635397	0.11149908
5.650118462518761e-10	0.89852226	0.30614653	0.12474933
5.700084546726172e-10	0.9230942	0.21840513	0.13716185
5.750048464685778e-10	0.92933744	0.120092005	0.14675981
5.800009543521184e-10	0.9104107	0.014372716	0.14949207
5.850003084384064e-10	0.87033963	-0.088811696	0.14472494
5.900032179733311e-10	0.822639	-0.18219419	0.13602
5.950085379916316e-10	0.77899736	-0.2668344	0.12712322
6.000004893635548e-10	0.7417444	-0.3473994	0.118751414
6.050106749483085e-10	0.70660037	-0.4254628	0.10918556
6.100076208051933e-10	0.6720738	-0.49777594	0.09671956
6.15000661344065e-10	0.641059	-0.5622362	0.080697626
6.200057861417708e-10	0.6176034	-0.6184502	0.061959382
